(-1, 72.44989792611582, "TiUTermV1")
(-1, 71.05954588138395, "Systran_generic_ft")
(-1, 69.76711678921558, "BIT")
(-1, 69.4696276860427, "o3-term-guide")
(-1, 68.86819098541741, "MarianMT-ft")
(-1, 68.60545171631, "tower")
(-1, 68.10671212781429, "Erlendur")
(-1, 68.00425550973068, "TiUTermV0")
(-1, 67.2216755444706, "salamandrata")
(-1, 67.04956763190229, "duterm")
(-1, 65.58003278000844, "CurTermNLLB")
(-1, 65.50661525354883, "CommandA_MT")
(-1, 65.15320592730141, "MeGuMa")
(-1, 64.95653435611112, "LC-primary")
(-1, 64.05404552003456, "LC-2")
(-1, 64.05404552003456, "LC-3")
(-1, 63.4541743045972, "EuroLLM-ft")
(-1, 60.26980531608768, "laniqo")
(-1, 50.1554470395368, "ContexTerm")
(-1, 1.2770232124874719, "TranssionMT")
